jogador_id,confianca_visual_media_percent,confiabilidade_media_percent,amostras,expressao_dominante
3,72.76,60.66,4,happiness
11,67.22,56.53,44,neutral
8,66.06,59.22,143,neutral
9,63.48,57.72,54,neutral
12,61.63,62.06,6,neutral
15,59.95,62.22,20,neutral
18,59.84,61.75,137,neutral
4,59.83,63.2,74,neutral
16,59.6,63.36,142,neutral
21,59.12,59.06,176,neutral
23,58.84,60.02,195,neutral
14,58.61,62.38,78,neutral
10,58.24,61.34,107,neutral
17,58.23,61.83,68,neutral
20,58.1,61.28,260,neutral
24,58.03,64.22,195,neutral
19,57.54,59.38,168,neutral
1,57.31,59.86,50,neutral
7,57.21,62.86,109,neutral
29,56.93,65.56,170,neutral
22,56.28,56.56,172,neutral
25,56.02,62.83,120,neutral
27,55.83,66.07,195,neutral
5,55.44,59.67,141,neutral
2,55.15,65.72,64,neutral
28,54.24,65.54,180,neutral
26,53.97,65.91,179,neutral
32,52.67,66.37,60,neutral
30,47.47,63.83,154,neutral
31,45.81,64.66,101,neutral
